id,document_number,window_number,pair_number,text,label
77.2.5,77,2,5," [א1] ומבקרים [/א1] בהן מדי יום כ2,000 איש הסובלים מבעיות בפרקים, כאבי גב וכיוצא באלה. ההשקעה עליה הוחלט בקיבוץ הארצי [א2] נועדה [/א2] להקמתם של מכון לטיפולים הידרותרפיים, סאונה, בית מרחץ ומסעדה.",BEFORE
135.20.51,135,20,51, באחרונה [א1] קיבלתי [/א1] כמות גדולה של תרופות מתוצרת חברת טבע בכפר סבא. התרופות [א2] נראו [/א2] לי שונות מהרגיל.,BEFORE
124.24.83,124,24,83," מלר-המאן, מנהלת מרכז מגע וייעוץ לבני נוער העלולים להתאבד, [א1] השתאתה [/א1] על תגובותיה של אם, שבתה בת ה91 קפצה מהחלון. כעבור זמן מה [א2] סיפרה [/א2] הבת שבגיל תשע תפרה האם את שפתות אבר המין שלה, כיוון שהילדה איחרה לחזור הביתה יום אחד.",BEFORE
34.22.96,34,22,96," אף שארה""ב התנגדה מאז ומתמיד לצעדי הסיפוח של ישראל, היא לא השכילה להבין כי בהטילה שוב ושוב וטו על החלטות האו""ם, היא [א1] מרגילה [/א1] את הציבור הישראלי להאמין שאפשר להשליך הצדה את הצהרותיה באותו עניין עצמו. בהרצאה [א2] שנשא [/א2] בחודש מארס טען פרופסור יהושפט הרכבי כי בכך איפשרה ארה""ב לממשלות ישראל ולציבור בארץ לבצע משגים, שיום אחד הם אלה שייאלצו לשלם את המחיר בעבורם.",BEFORE
98.6.40,98,6,40," גם לאחר בחירתה חזרה והצהירה שתיאבק בעד חוק גירושין והפצת אמצעי מניעה שני אלמנטים מרכזיים בהם [א1] נאבקת [/א1] קשות הכנסייה הקתולית וכן בעד התפייסות עם צפון אירלנד. בניגוד למפלגה השלטת, אין היא [א2] מזוהה [/א2] עם הקתולים במחוז זה, והיא פנתה גם לפרוטסטנטים שם להושיט יד.",BEFORE
122.31.415,122,31,415," אם ימשיכו מחירי הדיור להדהיר את המדד גם בחודשים הבאים השקעה במק""ם היא אפשרות אטרקטיווית מאוד, מה גם שהמק""ם ניתן למימוש בכל עת, הסיכון קטן ועמלות הכניסה, היציאה והפדיון נמוכות. סוכנות פטרולגז בכפר סבא, ""ביגז"", אולי לא המציאה את השיטה, אבל בגינה [א1] נודע [/א1] לי על כך לראשונה: איך לאפשר ללקוח [א2] הפורע [/א2] חשבון לשלם שתי עמלות לבנק, במקום אחת.",VAGUE
22.9.37,22,9,37," כהנא אומר בו לערבים שהוא איננו [א1] שונא [/א1] אותם. הוא [א2] אוהב [/א2] יהודים ומבין בהחלט שהערבים מתעבים את היהודים, ורואים בהם זרים שבאו להשתלט על ארצם ועל אדמתם.",AFTER
138.0.2,138,0,2,"לונדון (מיוחד ל""הארץ""). במפלגה השמרנית מסתמנת קבוצה חזקה [א1] המתכוונת [/א1] להעמיד את מייקל הסלטיין כמועמד נגד מארגרט תאצר, בהתמודדות הקרובה על המנהיגות, [א2] שנקבעה [/א2] ל02 בנובמבר.",AFTER
2.4.49,2,4,49," לכל אלה המתרשמים ומסתפקים בקריאת הכותרת בלבד, אני יכול להבטיח שאכן התנהל שם קרב, והוא היה אחד הקשים והמפוארים בכל קרבות ישראל. ועל כך תעיד ההיסטוריה, [א1] ויעידו [/א1] עשרות הלוחמים [א2] שנשארו [/א2] בחיים והצליחו לבצע את משימתם על אף האבדות הכבדות.",AFTER
30.2.20,30,2,20," כך [א1] נראה [/א1] גם רצונו של מנכ""ל ההתאחדות לספורט שמואל ללקין לנסוע לקונגרס איגרוף, שיהיה בשבוע הבא באוסטרליה. התנגדותם לנסיעה זו של כמה מראשי האיגודים המסונפים להתאחדות, שפעילותם נפגעת בגלל קשיי מימון וחוסר תקציב, מובנת בהחלט וגם [א2] מוצדקת [/א2] לחלוטין.",BEFORE
60.2.41,60,2,41," גולן הביע שביעות-רצון מהדרך בה פועלת אלביט, כמפעל פרטי ראשון שקיבל על עצמו, מרצונו, את העקרונות שעל-פיהם [א1] עובדת [/א1] הרשות לשיתוף פעולה תעשייתי. לדבריו הוקם באלביט גוף שמפקח על הקניות [א2] ובודק [/א2] כל הזמנה המיועדת לחו""ל, אם ניתן לרכוש אותה בארץ.",BEFORE
33.27.94,33,27,94," בעייתה של ארה""ב והדבר אמור במשנה תוקף לגבי יתר ארצות המערב לא נעוצה בחוסר יכולת, במונחי עוצמה, להעמיד את עיראק במקומה. ואילולא נתפסה ביהירותה המעצמתית לאשליה כי היא מסוגלת לתכנן מראש מי ומה יבואו בעיראק במקום סדאם חוסיין וקלגסיו, אפשר שהגנרל היה [א1] משתחרר [/א1] מתהיותיו, ואולי אפילו מזכיר המדינה היה [א2] חדל [/א2] לרקוד בשתי חתונות.",BEFORE
135.22.62,135,22,62," טילפנתי לרוקח האחראי, מר ליזר קסל. כעבור יומיים, הוא טילפן אלי, לירושלים, [א1] הודיע [/א1] לי [א2] שבדק [/א2] את כל קו הייצור ומצא כי אין תקלה בתרופה עצמה, אלא שהיא יבשה מהרגיל ומתפוררת יותר.",AFTER
34.13.31,34,13,31," אפשר כמובן ללעוג ל""ינקים"" [א1] המתרפסים [/א1] בפני השליטים ההוללים, הצבועים, של סעודיה, שבלי אותם חיילים אמריקאים חייהם שווים כקליפת השום. אפשר לנוד למעצמה החזקה בעולם, מעוז זכויות האדם ושוויון המינים, שעל-פי דרישת המארחים הערבים [א2] הוציאה [/א2] הוראה האוסרת על חיילות אמריקאיות לנהוג במכונית מחוץ לבסיסי הצבא (שמא ירעילו את מוחן של נשות סעודיה).",BEFORE
122.22.380,122,22,380," כל החלופות [א1] המוצעות [/א1] היום לחוסך הסולידי, מעמידות אותו בפני דילמה: לחסוך או לצרוך, ולכן גם ""השקעות"" במוצרים בני קיימא הן חלופות הראויות לשיקול רציני. המומחים להשקעות ולחסכונות [א2] מזכירים [/א2] מפעם לפעם, במסגרת עצותיהם לחוסכים ומשקיעים, את המק""ם (מלווה קצר מועד), אך מוסיפים מיד שהתשואה (הרווח) בהשקעתו מגיעה, לפי תקופת הפדיון, ל41% עד 81%, כלומר פחות מהאינפלציה החזויה, ולכן השקעה במק""ם גוררת הפסד ממשי.",VAGUE
133.48.190,133,48,190," אם ינצח במשאל-העם על שיטת הבחירות, לא זו בלבד שהשפעתו [א1] תגדל [/א1] וידידיו במפלגה הקומוניסטית ייהנו מהשינוי, אלא שהוא יצליח להחליש במידה ניכרת את יריבו הגדול, קראקסי, מזכיר המפלגה הסוציאליסטית, השלישית בגודלה באיטליה, שהשפעתה היא מעל ומעבר לכוחה בפרלמנט. על-פי החלטות הממשלה [א2] יישלחו [/א2] בהקדם שופטים ועובדי משרד המשפטים לדרום, כדי לאייש את המקומות הדרושים.",AFTER
31.6.130,31,6,130," מדוע נכשלה המדיניות, ובעיקר בתחום התעסוקה? השבועון ""אקונומיסט"" משוכנע כי ההסבר העיקרי הוא שממשלת ניו זילנד היתה נועזת, אך לא נועזת דיה: היא [א1] נמנעה [/א1] מלטפל בהיבט חיוני שבלעדיו לא תצליח שום רפורמה, דהיינו מערכת העבודה, השכר והאיגוד המקצועי. בתחום זה לא נעשה דבר: הסכמי העבודה נשארו קשוחים כשהיו, השכר נקבע בשיטות ריכוזיות על בסיס הצמדות וללא כל זיקה למצב בשוק העבודה, והאיגודים המקצועיים [א2] המשיכו [/א2] להפעיל זכויות בלעדיות במשא ומתן עם המעסיקים על מקומות העבודה ותנאיה, תוך התעלמות ממצב המשק.",BEFORE
138.3.32,138,3,32," הלחץ המחודש להחליפה התעורר בעקבות תבוסה [א1] צורבת [/א1] לשמרנים בבחירות המשנה לפרלמנט בשני מחוזות. בבראדפורד, עיר צפונית שבה יסוד מוסלמי חזק, [א2] ירד [/א2] כוחם של השמרנים ב32% לעומת הבחירות בשנת 7891, כאשר המושב עבר מידיהם ללייבור.",AFTER
2.19.102,2,19,102," כל ישראלי המנוסה בקרב לילה בשטח בנוי (כמנזר סן סימון) יודע, כי תוך כדי פריצה בחשכה קודם כל [א1] יורים [/א1] בכל דבר שנע ממולך. ואכן, כך [א2] קרה [/א2] בפריצה למנזר החשוך לחלוטין.",BEFORE
82.7.26,82,7,26," אשר לתביעות האקדמאים, להרחיב את בסיס השכר לצורך פנסיה, [א1] הושגה [/א1] הסכמה להעלות את קצבאות הגמלאים שביניהם. חלקם [א2] יקבלו [/א2] 544 ש""ח בשנה בסעיף ביגוד, במקום 022 ש""ח עד כה.",BEFORE
122.11.79,122,11,79," תמיד סיקרן אותי לדעת מי [א1] המציא [/א1] את השמות המוזרים הללו לתוכניות החיסכון, שהתהדרו עתה בשם המוזר ""כוח תשורת המשך"". למדתי שזכות היוצרים [א2] מחולקת [/א2] בין האוצר לבין הבנקים: האוצר, באשרו מסגרת כללית לסוג תוכניות מסוים, המציא את השם ""תשורה"" (קודם לכן ""תשואה""), ועתה התיר להוסיף את התיבה ""המשך"" לתוכנית מתוקנת; בנק לאומי המציא את ""כוח"", בנק הפועלים הבריק ב""מטמון"" וכולי.",BEFORE
124.24.88,124,24,88," מלר-המאן, מנהלת מרכז מגע וייעוץ לבני נוער העלולים להתאבד, השתאתה על תגובותיה של אם, שבתה בת ה91 [א1] קפצה [/א1] מהחלון. כעבור זמן מה סיפרה הבת שבגיל תשע תפרה האם את שפתות אבר המין שלה, כיוון שהילדה [א2] איחרה [/א2] לחזור הביתה יום אחד.",AFTER
70.8.37,70,8,37," במקרה כזה, למשל, יהייה צורך בתיאום ישראלי-אמריקאי כדי למנוע מצב שבו חילות האוויר של שתי המדינות [א1] יפציצו [/א1] את אותן מטרות. ישראל מצפה, כידוע, שארה""ב [א2] תיטול [/א2] חלק במיתקפה נגד עיראק, אם תותקף.",EQUAL
98.7.44,98,7,44," בניגוד למפלגה השלטת, אין היא מזוהה עם הקתולים במחוז זה, והיא [א1] פנתה [/א1] גם לפרוטסטנטים שם להושיט יד. ""איני [א2] תומכת [/א2] באף אחד מן הצדדים"", הכריזה.",VAGUE
33.9.22,33,9,22," אולם שיטת הפעולה של נשיא עיראק, אם לא תכניה ויעדה, ראויה בהחלט להשוואה למודל הגרמני. גם היטלר היה מערבב צווחות [א1] מאיימות [/א1] עם דברי נועם, גם הוא לא היה [א2] שוכח [/א2] לרמוז על נכונותו להסדיר בעיות בדרכי שלום, כדי להוליך שולל בני שיח שוטים או מיתממים.",EQUAL
54.19.97,54,19,97," בעבר הייתה הבנה עם ראש הממשלה שיכהן כסגן שר במשרדו אך בפועל יתפקד כסגן שר העבודה והרווחה. העניין לא יצא אל הפועל, ולפיכך, זעם השבוע ביבי, לאחר [א1] שנודע [/א1] לו שאגודת ישראל [א2] תקבל [/א2] שני סגני שרים במשרד העבודה והרווחה, וכי לו לא נמצא מקום במשרד זה.",BEFORE
128.3.31,128,3,31," חלק מן הספרים הללו כתב לפי רעיונותיהם של אחרים, חלק ערך [א1] ושיפץ [/א1] על-פי כתבי יד שנמסרו לו, וחלק, כנראה, לא ראה מעולם. בתקופה מסוימת [א2] העסיק [/א2] דיומא צוות שלם של עוזרים בראשותו של ההיסטוריון אוגוסט מיקא.",BEFORE
98.5.28,98,5,28, היא היתה ידועה בציבור האירי בעיקר בזכות מאבקיה למען זכויות האדם והאזרח. גם לאחר בחירתה [א1] חזרה [/א1] [א2] והצהירה [/א2] שתיאבק בעד חוק גירושין והפצת אמצעי מניעה שני אלמנטים מרכזיים בהם נאבקת קשות הכנסייה הקתולית וכן בעד התפייסות עם צפון אירלנד.,EQUAL
2.17.89,2,17,89," היא מבוססת על אותו קרב המגננה שבו [א1] אירעו [/א1] מעשי גבורה עילאיים, ועל קבלת החלטות קשות בתנאי קרב. חוסר ניסיון ועלילה זדונית [א2] באים [/א2] לביטוי בקטע המאמר הדן בנושא ""רצח הנזירות"".",BEFORE
2.3.28,2,3,28," וכעת לעובדות המצוטטות: כותרת המאמר, ""הקרב על סן סימון: היה לא היה"", מרמזת כי ייתכן שבמנזר כלל לא [א1] התנהל [/א1] קרב. לכל אלה [א2] המתרשמים [/א2] ומסתפקים בקריאת הכותרת בלבד, אני יכול להבטיח שאכן התנהל שם קרב, והוא היה אחד הקשים והמפוארים בכל קרבות ישראל.",BEFORE
135.22.54,135,22,54," [א1] טילפנתי [/א1] לרוקח האחראי, מר ליזר קסל. כעבור יומיים, הוא טילפן אלי, לירושלים, [א2] הודיע [/א2] לי שבדק את כל קו הייצור ומצא כי אין תקלה בתרופה עצמה, אלא שהיא יבשה מהרגיל ומתפוררת יותר.",BEFORE
131.49.126,131,49,126," למזלנו, איננו צריכים לשלם את מחיר טעותו. מנחם בגין [א1] קיבל [/א1] החלטה שונה, ואולי בזכותה יוסי שריד [א2] חי [/א2] ויכול להכיר בטעותו.",BEFORE
128.5.41,128,5,41," הצוות היה מכין למענו נושאים ושלד של עלילה והוא היה [א1] מוסיף [/א1] את ה""בשר"" בסגנונו הייחודי. בערב ספרותי, שנערך באחד מאולמות פאריס בשנות החמישים של המאה הקודמת, דנו המשתתפים בהתלהבות באחד מספריו של דיומא ועד מהרה [א2] הגיעו [/א2] לטונים גבוהים.",BEFORE
26.0.4,26,0,4,"עוד בימיו של ""סוף ציטוט"" ליוותה אותי תחושה של החמצה. ואין זה [א1] משנה [/א1] אם המנחה היה ירון לונדון, שהבליט את אישיותו הטלוויזיונית, או מיכאל הנדלזלץ שהיה [א2] מסויג [/א2] יותר בהבלטת אישיותו.",AFTER
30.0.12,30,0,12,"יש כמה עסקני ספורט, בעיקר הוותיקים והמשופשפים שבהם, המתפקדים תחת לחץ כאילו הזמן אוזל ויש להספיק לעשות הכל ומהר ובכל מחיר. הם [א1] מציירים [/א1] מטרות על הגלובוס, ואחר כך [א2] מוצאים [/א2] סיבות שונות ומשונות להגיע אל המטרה.",BEFORE
135.8.19,135,8,19," [א1] הופתעתי [/א1] לקרוא שעל גבי מוצרי לנקום מופיע כתובת היצרן רחוב רויאל 41, פריס. בדקנו מוצרים מספר של חברת לנקום [א2] ומצאנו [/א2] שעל גבי האריזה מופיע בדרך כלל הסימון בלבד, ללא כתובת.",BEFORE
122.32.418,122,32,418," סוכנות פטרולגז בכפר סבא, ""ביגז"", אולי לא המציאה את השיטה, אבל בגינה [א1] נודע [/א1] לי על כך לראשונה: איך לאפשר ללקוח הפורע חשבון לשלם שתי עמלות לבנק, במקום אחת. [א2] מונח [/א2] לפני חשבון של סוכנות זו על אספקת גז לצרכן, הכולל סעיף ""חיוב בגין תשלום בבנק 1.",VAGUE
33.31.123,33,31,123," עד שארצות הברית, בהנהגת הנשיא בוש, לא תאמר לעצמה את האמת לגבי השאלה ""מה אנחנו [א1] עושים [/א1] במדבר הסעודי"", תזכיר התנהגותה את חמורו של רידן. הלה [א2] מת [/א2] מרעב כיוון שלא השכיל לבחור בין שתי ערימות שחת שהונחו בפניו.",AFTER
128.2.23,128,2,23," דיומא, שהיה סופר בעל מוניטין, הכיר באבהותו על ספרים רבים, כנראה בתמורה מתאימה, לרווחתם ולשמחתם של מוציאים לאור וקוראים כאחד. חלק מן הספרים הללו [א1] כתב [/א1] לפי רעיונותיהם של אחרים, חלק [א2] ערך [/א2] ושיפץ על-פי כתבי יד שנמסרו לו, וחלק, כנראה, לא ראה מעולם.",EQUAL
33.20.73,33,20,73," ואולי זו הסיבה, או אחת מהן, שארה""ב נראית בלתי-כשירה למלא את המשימות, שעל פי הצהרותיו החוזרות הנשיא בוש חושב שהיא חייבת ליטול על עצמה. אין זה סוד שמזכיר המדינה בייקר, חרף הצהרות שריריות שהוא [א1] משמיע [/א1] מדי פעם, הוא חסיד הפתרון הדיפלומטי למשבר המפרץ; אם כי לא ברור באיזו דרך הוא [א2] חושב [/א2] להעלות בקנה אחד את האמצעים (משא ומתן, ול בלחץ של הסגר) עם היעדים (הוצאת עיראק מכוויית והחזרת בית המלוכה על כנו).",AFTER
131.46.118,131,46,118," לו רק היה הימין [א1] סומך [/א1] קצת על השמאל שיעזור לו להשתחרר מהפחד, היינו כולנו נשכרים. תל-אביב: ח""כ יוסי שריד הודיע לאחרונה כי [א2] טעה [/א2] כאשר התנגד להפצצת הכור האטומי בעיראק.",VAGUE
60.0.4,60,0,4,"חברת אלביט הקימה גוף אשר [א1] יעסוק [/א1] בשיתוף פעולה תעשייתי [א2] ויקיים [/א2] קשר עם הרשות לשיתוף פעולה במשרד התעשייה והמסחר. כך מסר חיים גולן, מנהל הרשות לשיתוף פעולה, שחזר מביקור בחברה.",EQUAL
92.9.23,92,9,23," [א1] טענו [/א1] בפניו שהוא כורת את הענף של הביטוח עליו הוא יושב. עם זאת, [א2] נמנעו [/א2] חברות הביטוח מלנקוט בצעדים נגד הסוכנות בגלל היקפי ביטוח חיים הגדולים שסוכנות זו מוכרת.",BEFORE
98.11.54,98,11,54," אין לו סמכויות מעשיות, אך לפעולותיו השפעה מוסרית רבה. העובדה שהוא [א1] נבחר [/א1] על ידי העם כולו, במערכת בחירות, [א2] מקנה [/א2] לו השפעה פוליטית רבה על אף שזו אינה מתבטאת בחוקה.",BEFORE
31.24.194,31,24,194," במדינה שבה יש כבר עתה מאות רופאים עודפים, והעומדת לקלוט אלפי רופאים חדשים, מתעקש האיגוד המקצועי להגן על שכרם של עמיתיו הבכירים, המשתכרים פי ארבעה וחמישה מן השכר הממוצע במשק (10000 שקלים בחודש ויותר), ואף להוסיף עליו. התוצאה הבלתי [א1] נמנעת [/א1] תהיה, שמוסדות הרפואה ייזהרו [א2] ויישמרו [/א2] מקליטת רופאים חדשים מקרב העולים.",BEFORE
70.2.15,70,2,15," כך מדווח כתב העיתון ""ואשינגטון פוסט"" מפי כתבו בירושלים. זהו הדיווח השני, בשבוע האחרון של כתב אמריקאי מישראל, האומר כי ישראל מודאגת מהיעדר תיכנון משותף בין ואשינגטון לירושלים בדבר אפשרות [א1] שידרש [/א1] תיאום בין שתי המדינות, אם [א2] יפרוץ [/א2] עימות צבאי במפרץ.",AFTER
79.9.30,79,9,30," מנכ""ל משרד התיירות הדגיש בדבריו לפני הנוכחים, כי בעוד הטמפרטורה בבודפשט היא אפס מעלות, [א1] מראה [/א1] הטמפרטורה באילת 82 מעלות צלסיוס. לדברי רוזנטל, [א2] הושלמו [/א2] בהצלחה המגעים עם סיטונאי התיירות של בריטניה, שהתחייבו להמשיך ולפרסם את ישראל בתוכניות קיץ 19.",BEFORE
54.51.296,54,51,296," בסולתם ראש המפעל קיבל על עצמו אחריות למחדלים שהם פחותים מהעוולות הניהוליות שמבצעת הנהלת הבנק. "" גדעון שור, מנהל מחלקת ההסברה בבנק, [א1] אמר [/א1] בתגובה: ""כל חברי ההנהלה מאוחדים בדיעה, שהוועד [א2] גורם [/א2] נזק לבנק.",AFTER
8.4.59,8,4,59," רייזמן מציע שהממשלה [א1] תסבסד [/א1] מחצית מעלות העסקתם של העולים בקטיף. מזכירות איגוד הפועלים החקלאיים אישרה אתמול נקיטת עיצומים אם עד סוף השבוע הבא לא [א2] יושג [/א2] הסכם שכר לשנתיים הבאות, במסגרתו יועלה שכר העובדים ב20%.",AFTER
22.10.82,22,10,82," הוא אוהב יהודים ומבין בהחלט שהערבים מתעבים את היהודים, ורואים בהם זרים שבאו להשתלט על ארצם ועל אדמתם. ""כיהודי מאמין אני [א1] עושה [/א1] את מה שמצווה עלי התורה ואת מה [א2] שדורש [/א2] ממני אלוהים"", אמר כהנא.",AFTER
34.24.115,34,24,115," הוא [א1] שלל [/א1] אז את התפיסה שרווחה בקרב פקידים אמריקאים רבים, שלפיה הסכסוך הישראלי-ערבי אינו בשל עדיין לפתרון. לדעתו, דחייה לא [א2] תשפר [/א2] את המצב.",BEFORE
48.3.33,48,3,33," ניצחון הפועל הושג בעיקר בזכות לחימה עיקשת של אמסלם ופרישמן, [א1] שהשתפר [/א1] וניווט התקפת קבוצתו ללא דופי. מכבי רמת גן [א2] שמט [/א2] ניצחון אחרי שהוביל במרבית דקות המשחק.",BEFORE
70.0.2,70,0,2,"ואשינגטון (מיוחד ל""הארץ""). ממשלת ישראל [א1] מקווה [/א1] ששיחות התיאום האסטרטגי המתנהלות בימים אלה בוואשינגטון בין משלחות ישראל וארה""ב יביאו לפתרון הבעיה של העדר תיכנון ישראלי-אמריקאי משותף, במקרה [א2] שיפרוץ [/א2] עימות צבאי נגד עיראק, שישראל תהייה מעורבת בו.",BEFORE
96.2.26,96,2,26," התאחדות הקבלנים ביקשה מהקבלנים ומחברות הבנייה להצהיר לגבי היקף הבנייה אותה מבקשים הם לבצע בדרך של בנייה יזומה על קרקעות אשר יוקצו להם על-ידי משרד השיכון, או במסגרת של בנייה תקציבית שתהווה אחד מן המסלולים [א1] שיופעלו [/א1] על-ידי המשרד. בפנייתו לחברי ההתאחדות [א2] אומר [/א2] נשיא הקבלנים, מרדכי יונה, כי הדרך של פנייה מרוכזת של החברים דרך ההתאחדות מבטיחה ליווי צמוד לכל בקשה עד מילויה.",AFTER
122.3.54,122,3,54," להודעה צורף עלון המפרט את תנאי תוכנית ההמשך. הלקוחה, שכרבים אחרים אינה מתמצאת בנבכי תוכניות החיסכון ותנאיהן המורכבים, [א1] פנתה [/א1] לסניף לקבל הסברים נוספים, ושם [א2] ציפו [/א2] לה הפתעות אחדות.",BEFORE
26.5.21,26,5,21," שידורי אפוסטרוף בערוץ השני [א1] סיפקו [/א1] הזדמנות לעקוב אחר התוכנית ברציפות, אם כי באיחור של זמן. [א2] מתברר [/א2] שהטלוויזיה איננה, ככלות הכל, אלרגית לסופרים וגם לא לספרות, הכל תלוי באישיותו של המנחה, ובמקרה שלפנינו ברנאר פיבו, שהשכיל להפוך את התוכנית לסיפור הצלחה בין-לאומי.",BEFORE
54.39.226,54,39,226," אולם בישיבה שהתקיימה השבוע בהשתתפות מנכ""ל משרד התעשיה והמסחר צבי קורן, מנכ""ל משרד איכות הסביבה ד""ר אורי מרינוב, סגן החשב הכללי והאחראי על הדיור, נתן רטנר, ונציגי אגף התקציבים באוצר, הודיעו נציגי תמ""ס כי אין להם משאבים לבצע את מעבר משרדיהם מבניין אחד למישנהו. בישיבה [א1] הוחלט [/א1] כי המשרד לאיכות הסביבה ישלם למשרד התעשייה והמשרד חצי מיליון ש""ח עבור מרכזיית הטלפונים של תמ""ס [א2] שתועבר [/א2] יחד עם המבנה לרשות המשרד לאיכות הסביבה.",BEFORE
135.9.31,135,9,31," בדקנו מוצרים מספר של חברת לנקום ומצאנו שעל גבי האריזה [א1] מופיע [/א1] בדרך כלל הסימון בלבד, ללא כתובת. על דפי ההסבר [א2] המצורפים [/א2] למוצרים מופיעה הכתובת הידועה של לנקום מנהל שיווק, פי.",EQUAL
133.45.176,133,45,176," די לחשב את הריבית על הסכומים כדי להבין את ממדי טובת ההנאה מאיטיות ביצוע התוכניות. יש להניח שהכספים האלה [א1] סייעו [/א1] לאנשי דא מיטה לאסוף באזורי הדרום מאות אלפי תומכים לעריכת משאל-עם לשינוי שיטת הבחירות משיטה פרופורציונלית טהורה לשיטת חסימה, [א2] שתעניק [/א2] למפלגת הרוב הדמו-נוצרית ולמפלגת האופוזיציה הגדולה של הקומוניסטים יתרון רב בפרלמנט.",BEFORE
54.31.176,54,31,176," ריבלין האשים ""ח""כים ירושלמים (קרי: הנגבי, קורפו, ויהושע מצא) המנצלים את מעמדם בהנהלת הסיעה, כדי למנוע כל אפשרות [א1] שיכהן [/א1] בחבר בוועדת חוץ וביטחון. ריבלין [א2] אמר [/א2] כי על פי סיכום שנערך עימו השבוע יצטרפו הח""כים קופמן ויהודה פרח לוועדת הכספים, ואילו הוא יצורף לוועדת חוץ וביטחון, אך ""חבריו"" מצאו ברגע האחרון סיבה להפר את הסיכום.",AFTER
31.3.94,31,3,94," שוחרי השוק החופשי ותומכי ההתערבות הממשלתית גם יחד התבוננו בהשתאות אל הנעשה בארץ הקיווי: האם תגשים דווקא מפלגה סוציאל-דמוקרטית את חזונו של מילטון פרידמן? בחודש שעבר, כתום קרוב לשש שנות שלטון, בעטו בוחרי ניו-זילנד במפלגת העבודה, [א1] והחזירו [/א1] לשלטון את המפלגה השמרנית. הסיבה: המדיניות הכלכלית הנועזת של מפלגת העבודה [א2] נכשלה [/א2] כישלון חרוץ.",AFTER
34.26.144,34,26,144," נהפוך הוא: ככל שחולף הזמן ירבו ההתנחלויות היהודיות [א1] ויגבר [/א1] הפונדמנטליזם האיסלמי. התנהגותה של ארצות הברית במועצת הביטחון בפרשת הר הבית (נתניהו טוען שהאמריקאים אינם נבהלים גם מהרעיון לכנס לראשונה בתולדות אמנת זנווה את המדינות [א2] החתומות [/א2] עליה), הנחישות שגילה הממשל בעניין הכוונת העולים והכספים לישראל בגבולותיה המצומצמים ייתכן שאלה עדויות ראשונות לכך שהממשל מבין לא רק את אילוצי הקואליציה שלו עם המוסלמים האדוקים.",AFTER
28.0.0,28,0,0,רעישות עשויות לחולל זעזוע בפיסגה במשחקי המחזור ה-31 של הבונדסליגה. שתי הראשונות [א1] ישחקו [/א1] מחר בבית נגד יריבות נוחות: [א2] המוליכה [/א2] באיירן מינכן (71 נק) מארחת את דורטמונד (מדורגת 9) וקייזרסלאוטרן (61 נק) מחכה לדיסלדורף (מקום 21).,AFTER
122.0.1,122,0,1,"תשורת המשך אשר לה תנאים [א1] הניתנים [/א1] לחוסכים ותיקים בלבד"", [א2] כותב [/א2] סניף מסניפי בנק לאומי ללקוחה, שתוכנית החיסכון צמודת-המדד שלה עמדה לפידיון בחודש שעבר (אוקטובר). בהמשך נאמר, בין השאר, כי ""מועדי היציאה הגמישים של כוח תשורת המשך הופכים את התוכנית לאטרקטיווית"".",VAGUE
54.5.23,54,5,23," העניין [א1] עורר [/א1] את חמתו של לוי, ולפני כחודש הוא התפרץ, באירוע חברתי, על אורי שני, יו""ר עמידר ומקורבו של שרון. לוי [א2] זעם [/א2] וקרא בקול ""אם תגעו בסלוצקי תהיה מלחמת עולם"".",BEFORE
70.11.43,70,11,43, היבט אחד שבו כבר יש שיפור מסוים בשיתוף הפעולה בין שתי המדינות הוא ההיבט המודיעיני. אחת הבעיות המרכזיות המדאיגות את ישראל היא הגישה למידע מלווייני הריגול האמריקאיים [א1] העוקבים [/א1] אחר [א2] המתרחש [/א2] בעיראק ובכווית.,AFTER
133.48.189,133,48,189," אם [א1] ינצח [/א1] במשאל-העם על שיטת הבחירות, לא זו בלבד שהשפעתו תגדל וידידיו במפלגה הקומוניסטית ייהנו מהשינוי, אלא שהוא יצליח להחליש במידה ניכרת את יריבו הגדול, קראקסי, מזכיר המפלגה הסוציאליסטית, השלישית בגודלה באיטליה, שהשפעתה היא מעל ומעבר לכוחה בפרלמנט. על-פי החלטות הממשלה [א2] יישלחו [/א2] בהקדם שופטים ועובדי משרד המשפטים לדרום, כדי לאייש את המקומות הדרושים.",AFTER
2.4.34,2,4,34," לכל אלה [א1] המתרשמים [/א1] ומסתפקים בקריאת הכותרת בלבד, אני יכול להבטיח שאכן התנהל שם קרב, והוא היה אחד הקשים והמפוארים בכל קרבות ישראל. ועל כך [א2] תעיד [/א2] ההיסטוריה, ויעידו עשרות הלוחמים שנשארו בחיים והצליחו לבצע את משימתם על אף האבדות הכבדות.",VAGUE
22.0.0,22,0,0,"מאיר כהנא היה ללא ספק אחד הישראלים המפורסמים ביותר בציבור הערבי. רעיונותיו, מעשיו וסיסמאותיו [א1] זכו [/א1] לתהודה עצומה בין ערביי השטחים וישראל, והעיתונות הפלשתינית לא [א2] חדלה [/א2] מלעסוק בו גם אחרי שהתקשורת הישראלית החליטה להתעלם ממנו.",BEFORE
